MONTH;YEAR;EDP ENERGIAS DE PORTUGAL;GALP ENERGIA SGPS;JERONIMO MARTINS;EDP RENOVAVEIS;BANCO COMR.PORTUGUES 'R';BANCO BPI;NAVIGATOR COMP;NOS SGPS;SONAE SGPS;ALTRI SGPS;CCT CORREIOS DE PORTUGAL;CORTICEIRA AMORIM;MOTA ENGIL SGPS;REN;SEMAPA;SONAE COM LIMITED DATA;CIMENTOS DE PORTL.SGPS;CIPAN LIMITED DATA;COFINA;COMPTA;CONDURIL ENGENHARIA LIMITED DATA;COPAM LIMITED DATA;ESTORIL SOL 'B';F RAMADA INVESTIMENTOS;FENALU LIMITED DATA;FUTEBOL CLUBE DO PORTO;GI.GLB.INTEL.TECHS.SGPS;IBERSOL - SGPS;IMMOBL.CON.GRAO-PARA;IMPRESA SGPS;INAPA;INTEL.SENSING ANYWHERE;LISGRAFICA;LITHO FORMAS PORTUGUESA LIMITED DATA;LUZ SAUDE;MARTIFER;MEDIA CAPITAL;MONTEPIO;NEXPONOR SICAFI REIT;NOVABASE;OLIVEIRA AND IRMAO LIMITED DATA;OREY ANTUNES;PATRIS INVESTIMENTOS;PHAROL SGPS;REDITUS;SAG GEST;SDC INVESTIMENTOS;SOCIETY AGUAS DA CURIA LIMITED DATA;SONAE CAPITAL;SONAE INDUSTRIA SGPS;SONAGI LIMITED DATA;SPORT LISBOA E BENFICA FUTEBOL;SPORTING CLUBE DE BRAGA;SPORTING LIMITED DATA;SUMOL COMPAL;TEIXEIRA DUARTE;TOYOTA CAETANO;TRANSINSULAR LIMITED DATA;VAA VISTA ALEGRE ATLANTI;BANCO SANTANDER (LIS);EURONEXT (LIS);ESTORIL SOL 'R'
5;2003;0.036417571;NA;0.004316312;NA;0.021734835;-0.004124107;0.007751938;0.026490066;0;NA;NA;0;-0.007352941;NA;-0.011152416;-0.015789474;-0.009009009;0;0.004732608;0.037037037;0;0;0;NA;0;0.010582011;-0.055545738;-0.01437931;0;0;-0.003123111;NA;0.006902502;-0.095153759;NA;NA;NA;NA;NA;0.001763668;0;0;NA;-0.030070182;0.010666667;0;-0.037558685;0;NA;0;0;NA;NA;0;0;NA;0.026717557;0;0;-0.036494406;NA;0
5;2003;-0.011692345;NA;-0.017191048;NA;-0.007084967;-0.032888718;0.007692308;-0.031612903;-0.025702811;NA;NA;0;0;NA;0.003759398;0.016042781;-0.015151515;0;0;0;0;0;0;NA;0;0.023560209;0.058812523;0.026239373;0;0.004829903;-0.003082365;NA;0;0;NA;NA;NA;NA;NA;0;0;-0.013015582;NA;-0.010853634;0;-0.016806723;-0.024390244;0;NA;-0.020057307;0;NA;NA;0.02892562;-0.006639791;NA;0;0;0;0.012139644;NA;0
5;2003;0.023661347;NA;0.002887789;NA;0;0.03400717;0.007633588;-0.01065956;0;NA;NA;0;0.007407407;NA;0;-0.010526316;-0.009230769;-0.006346154;0.043099388;0;0;0;0.025555556;NA;0;-0.002557545;-0.055545738;0.002863669;0;-0.004806688;0;NA;-0.014567266;0;NA;NA;NA;NA;NA;0.001760563;0;0;NA;-0.007840342;0;0.008547009;0;0;NA;0.036842105;0;NA;NA;-0.016064257;0.013320602;NA;0;0;0;0.00896449;NA;0
5;2003;0;NA;-0.004360346;NA;-0.007153228;0.012375403;0;0.026936027;0;NA;NA;-0.014492754;-0.007352941;NA;-0.007490637;-0.005319149;-0.00310559;0.006386685;-0.009144276;0;0;0;-0.003250271;NA;0;0.01025641;0.058812523;-0.005676989;0;0.004829903;0;NA;0.014782609;0;NA;NA;NA;NA;NA;0;0;0;NA;-0.012647459;-0.042560514;-0.008474576;-0.04;0;NA;-0.015792442;0;NA;NA;0;-0.017103279;NA;0;0;0;-0.004454727;NA;0
5;2003;0.011557214;NA;0.013138324;NA;-0.007186932;-0.008133562;-0.007575758;0.022295082;0.026380874;NA;NA;-0.029411765;0;NA;0;0.005347594;0.021806854;0.070576923;0;0;0;0;0;NA;0;-0.002538071;0;0;0;0;-0.006234477;NA;-0.014567266;0;NA;NA;NA;NA;NA;0;0;0;NA;0.01761541;0.022286125;0.008547009;0.03125;0;NA;-0.020057307;0;NA;NA;0.016326531;-0.012032021;NA;0;0;0;-0.010432633;NA;0
5;2003;-0.005712586;NA;0.007177229;NA;-0.014495878;-0.008200259;-0.007633588;0.00192431;-0.025702811;NA;NA;0.015151515;-0.007407407;NA;-0.003773585;0.005319149;0.006097561;0;-0.0093426;-0.011904762;0;0;-0.008695652;NA;0;-0.030534351;-0.055545738;0;0;-0.004806688;0.00627359;NA;0;0;NA;NA;NA;NA;NA;0.001757469;0;0.013187221;NA;0.003142228;-0.021800281;0;-0.015151515;0;NA;0.020467836;0;NA;NA;-0.016064257;0.023047065;NA;0;0;-0.039397451;0.018087339;NA;0
5;2003;-0.022981627;NA;0.005749453;NA;0.022054535;-0.004109854;0.015384615;-0.038412292;0;NA;NA;0;0.007462687;NA;0.003787879;0.015873016;-0.009090909;-0.035925992;0.018746406;0;0;0;-0.002192982;NA;0;0.01312336;0;-0.005709402;0;0.019634607;0.003091895;NA;0.007826087;0;NA;NA;NA;NA;NA;0.00877193;0;0;NA;-0.004707957;0;-0.008474576;-0.01025641;0;NA;-0.020057307;0;NA;NA;0.016326531;0.001327958;NA;0;0;0;0.008883;NA;0
5;2003;0.029402757;NA;-0.007085346;NA;-0.014373863;-0.012477545;0;-0.017976032;0;NA;NA;0;-0.007407407;NA;0;-0.020833333;0.003058104;0;0;0;0;0;0;NA;0;0.010362694;0;0;0;0.009576769;-0.009297625;NA;0;0;NA;NA;NA;NA;NA;-0.00173913;0;0;NA;-0.007877429;-0.044452432;0.008547009;-0.015544041;0;NA;0;0;NA;NA;-0.020080321;-0.00928338;NA;0;0;0;-0.038137861;NA;0
5;2003;0.005712586;NA;0.002838145;NA;0.02189332;0.004228122;0;0.023728814;0.026380874;NA;NA;0;0;NA;0.003773585;0.005319149;0.00304878;0;-0.013772861;-0.006024096;0;0;-0.005494505;NA;0;-0.015384615;0;0;-0.003891051;0;0;NA;0.014667817;0;NA;NA;NA;NA;NA;-0.00174216;0;-0.034738772;NA;0.003172191;0.023322884;-0.008474576;0.026315789;0;NA;-0.07748538;0;NA;NA;0;0;NA;-0.003717472;0;0.027503016;0.004576948;NA;0
5;2003;0;NA;-0.02288348;NA;-0.01428875;-0.012582003;0;0.004635762;0;NA;NA;0;-0.007462687;NA;0;-0.010582011;-0.009118541;0;0;-0.048484848;0;0;-0.005524862;NA;0;-0.026041667;0.058812523;-0.008596087;0;0.042839657;-0.009384882;NA;-0.014455782;0;NA;NA;NA;NA;NA;-0.005235602;0;-0.009020986;NA;-0.00632432;-0.011395662;0;0.005128205;0;NA;0.017749604;0;NA;NA;0.020491803;-0.021370177;NA;0;0;0.013148626;-0.037933899;NA;0
5;2003;-0.005680137;NA;0.004385965;NA;0;-0.004214388;0;0.019116678;-0.025702811;NA;NA;0;0.015037594;NA;0;0.010695187;-0.003067485;0;0;0;0;0;0.016666667;NA;0;-0.037433155;0;-0.005757292;0;0.018290297;-0.003192256;NA;0;0;NA;NA;NA;NA;NA;0.00877193;0;0.027213492;NA;0.006364572;-0.01152702;0;0;0;NA;0.013080037;0;NA;NA;-0.004016064;0.005471422;NA;-0.138059701;0;0;0.018916797;NA;0
5;2003;-0.005712586;NA;0.016066573;NA;0;0.01702848;0.007575758;0.009055627;0.026380874;NA;NA;0;0;NA;0;-0.005291005;0.009230769;0;0;0;0;0;-0.002185792;NA;0;-0.069444444;-0.055545738;0;0;-0.026894631;0;NA;0;0;NA;NA;NA;NA;NA;0.00173913;0;0;NA;-0.00632432;-0.01153605;0;0;0;NA;0;0;NA;NA;-0.008064516;0.004081236;NA;0.147186147;0;0;0.007754924;NA;0
5;2003;0;NA;-0.01581252;NA;0;0;-0.015037594;-0.009615385;0;NA;NA;0;-0.007407407;NA;-0.003759398;0;0.00304878;0;-0.013965201;0.070063694;0;0;0.002190581;NA;0;-0.074626866;0;-0.005825514;0;0.009179745;0.003202479;NA;0.021570319;0;NA;NA;NA;NA;NA;-0.005208333;0;0;NA;0.003182286;-0.011797539;0;-0.025510204;0;NA;0.008607439;0;NA;NA;-0.008130081;-0.002709765;NA;0;0;0;0.016893872;NA;0
5;2003;0.005745407;NA;0.016066573;NA;-0.007238957;-0.008371683;0;0.006472492;0;NA;NA;0;0;NA;-0.011320755;0.005319149;-0.006079027;0.043413453;-0.009403297;-0.06547619;0;0;-0.016393443;NA;0;-0.090322581;0;-0.002912281;-0.078125;0.004597027;-0.025332098;NA;0;0;NA;NA;NA;NA;NA;0.003490401;0;0;NA;0.009535568;0.035686778;0;0.015706806;0;NA;-0.021334959;0;NA;NA;0.004098361;-0.023047065;NA;0;0;0;-0.009070863;NA;0
5;2003;0.017137757;NA;0.014271813;NA;0.02189332;0.025277709;0;0.000643087;0.051004016;NA;NA;0;0;NA;0.019083969;0.042328042;0.006116208;0.005892857;0.014297433;0.057324841;0;0;0.005555556;NA;0;0.042553191;0.058812523;0;0;-0.009151981;-0.009772847;NA;-0.006756757;0;NA;NA;NA;NA;NA;0.005217391;0;-0.026492537;NA;0.020433891;0;0;0.030927835;0;NA;0;0;NA;NA;0;0.033275391;NA;0.01509434;0;0;0.028978911;NA;0
5;2003;-0.011232668;NA;-0.011272785;NA;0.007135522;-0.016420282;-0.007633588;-0.008354756;-0.024073366;NA;NA;0;0;NA;0.007490637;-0.005076142;-0.003039514;-0.047221729;-0.004737146;-0.030120482;0;0;0.002209945;NA;0;0.054421769;-0.055545738;-0.017595102;0.084745763;0.004618257;-0.003254201;NA;-0.022108844;0;NA;NA;NA;NA;NA;-0.005190311;0;-0.090935224;NA;-0.007707484;0.034457115;0;-0.02;0;NA;-0.013080037;0;NA;NA;0.004081633;0.004037491;NA;0;0;0;0.007397031;NA;0
5;2003;0.028400686;NA;-0.03428479;NA;-0.014187514;0.008371683;0;0.004536617;0.024667189;NA;NA;0;-0.007462687;NA;-0.003717472;0;0;0.043413453;0;0;0;0;0.001102536;NA;0;0.016129032;0.058812523;0.008955117;0;0.009096244;0.003264826;NA;0.014782609;0;NA;NA;NA;NA;NA;0.005217391;0;0;NA;0.009309672;-0.011023245;0;0.010204082;0;NA;0.026506784;0;NA;NA;0.016260163;-0.022739241;NA;0;0;0;0.008830776;NA;0
6;2003;0.038662908;NA;0.025119317;NA;0.04317509;0.020731174;-0.007692308;-0.006451613;0.024455483;NA;NA;0;0.007518797;NA;0.003731343;0.005102041;0.021341463;0;0.004759694;0;0;0;-0.02753304;NA;0;-0.050793651;-0.055545738;0.002946711;0;-0.013569836;0.003307549;NA;0.014567266;0;NA;NA;NA;NA;NA;0.010380623;0;0;NA;-0.001528095;0.011146111;0.008547009;0.050505051;0;NA;-0.00430372;0;NA;NA;0.016;0.023268345;NA;0;0;0;0.016031919;NA;0
6;2003;0.005317676;NA;-0.008658009;NA;0.013796051;0.020310122;0.007751938;-0.012987013;0;NA;NA;0;0.007462687;NA;0;-0.005076142;0.002985075;0;0.004621606;0;0;0;0.040770102;NA;0;0.013377926;0.294062617;0.002938053;0;0.004618257;-0.003296645;NA;-0.014358108;0;NA;NA;NA;NA;NA;0.018835616;0;0;NA;-0.012335663;-0.03330937;0;-0.014423077;0;NA;0.012966965;0;NA;NA;0.019685039;0;NA;0;0;0;-0.008615355;NA;0
6;2003;0.021158191;NA;0.002966137;NA;0.006795724;0.051792457;0.015384615;0.015789474;0.118985453;NA;NA;0.014925373;-0.007407407;NA;0.003717472;0.015306122;-0.00297619;0;0;0;0;0;-0.001088139;NA;0;-0.01320132;0;0;0;-0.013693271;-0.003254201;NA;-0.021422451;0;NA;NA;NA;NA;NA;0.013445378;0;0;NA;-0.001549548;0.023054041;0;0;0;NA;0;0;NA;NA;0.015444015;-0.013356312;NA;0;0;-0.026187717;0.014475706;NA;0
6;2003;0.020719797;NA;0.014458227;NA;0.006766602;-0.018925627;-0.007575758;0.00388601;-0.042333333;NA;NA;0;0;NA;0.018518519;-0.005025126;0.008955224;0;0.014031052;0;0;0;0.006535948;NA;0;0;-0.045447973;-0.005858892;0;0.004660849;0;NA;0.036777583;0;NA;NA;NA;NA;NA;0.00331675;0;0;NA;0.023428881;0.03368064;0.008474576;-0.014634146;0;NA;-0.025601951;0;NA;NA;0.015209125;-0.009509947;NA;0;0;0;-0.005702927;NA;0
6;2003;-0.020299202;NA;0;NA;-0.006721123;0.015450644;-0.007633588;0.007741935;0.044204664;NA;NA;0;0.029850746;NA;0.036363636;0.025252525;0.00591716;0;0.050697516;0.02484472;0;0;-0.002164502;NA;0;0.003344482;0;0.005893421;0;0;0;NA;0.014358108;0;NA;NA;NA;NA;NA;0.016528926;0;0;NA;0.013739175;-0.032583216;0.025210084;0.02970297;0;NA;0.039411949;0;NA;NA;-0.026217228;0.034241207;NA;-0.003717472;0;0.026891956;0.028678186;NA;0
6;2003;-0.020719797;NA;-0.00137663;NA;0;0;0.007692308;-0.003841229;0;NA;NA;-0.029411765;0;NA;0.024561404;0;-0.029411765;0;0;-0.006060606;0;0;-0.023861171;NA;0;0;-0.047611835;0;-0.03125;-0.009278452;0;NA;0.006661116;0;NA;NA;NA;NA;NA;0;0;0;NA;-0.006019536;0;-0.008196721;-0.004807692;0;NA;0;0;NA;NA;-0.030769231;-0.017193199;NA;0;0;0;-0.01115147;NA;0
6;2003;0;NA;-0.004297762;NA;-0.006749853;0.022778841;0;-0.003856041;0;NA;NA;0;0;NA;0.01369863;-0.004926108;-0.015151515;0;-0.008743523;-0.085365854;0;0;0;NA;0;0.013333333;0;0;0;0;0;NA;0.007444169;0;NA;NA;NA;NA;NA;0.014634146;0;0;NA;0.003027995;0.03368064;0;0.004830918;0;NA;-0.021065302;0;NA;NA;0.035714286;0.001301205;NA;0;0;0;0.021150652;NA;0
6;2003;0.005289548;NA;-0.002931835;NA;0.040808067;-0.007394841;-0.007633588;0.003225806;-0.021;NA;NA;0.015151515;0.007246377;NA;-0.006756757;0.044554455;0.015384615;0;0.004464772;0.086666667;0;0;0;NA;0;-0.019736842;0.049992048;-0.011753079;0;0.03726213;0.019749518;NA;-0.013957307;0;NA;NA;NA;NA;NA;-0.004807692;0;0;NA;-0.018131203;-0.021800281;0;-0.024038462;0;NA;-0.025822318;0;NA;NA;-0.007662835;-0.01342831;NA;0;0;0;0.030404399;NA;0
6;2003;-0.005261716;NA;-0.010046557;NA;0.026149509;-0.011262544;0;-0.004501608;0;NA;NA;0;-0.007194245;NA;-0.003401361;-0.014218009;0.018181818;0.041607143;-0.004444926;0;0;0;0;NA;0;-0.003355705;-0.047611835;0.011892857;0;-0.013447315;0;NA;-0.028309742;0;NA;NA;NA;NA;NA;-0.001610306;0;0;NA;-0.035385522;0;0;0.014778325;0;NA;0.030924582;0;NA;NA;-0.027027027;0.001365987;NA;0;0;0;0.01607667;NA;0
6;2003;-0.037026833;NA;-0.004372937;NA;-0.025483138;-0.003767397;0;-0.003875969;0;NA;NA;0;0.007246377;NA;-0.010238908;-0.019230769;0.00297619;0;0;-0.061349693;0;0;0.007777778;NA;0;-0.003367003;0;-0.008823633;0;0.004478629;-0.016165433;NA;-0.006855184;0;NA;NA;NA;NA;NA;0;0;0;NA;0.012768638;0;-0.008264463;0;0;NA;-0.017141108;0;NA;NA;-0.003968254;0.01495664;NA;0;0;0;0.0105482;NA;0
6;2003;0.043943469;NA;0.002900472;NA;-0.006529276;-0.003826133;0.007692308;-0.020103761;0;NA;NA;0;0.007194245;NA;-0.003448276;0.034313725;0.002967359;0;0.008820647;0.013071895;0;0;0.003307607;NA;0;-0.02027027;0;0;0;-0.009014248;0.00656175;NA;0.028472821;0;NA;NA;NA;NA;NA;0;0;0;NA;0.020466238;0.022286125;0;0;0;NA;0;0;NA;NA;0.015936255;-0.012048193;NA;0;0;0;0.018277497;NA;0
6;2003;-0.010523431;NA;0.004379441;NA;-0.006588496;-0.007636997;-0.007633588;0.00198544;0.02145046;NA;NA;0.014925373;0;NA;0.010380623;0.009478673;-0.020710059;0;-0.004317789;0.032258065;0;0;0;NA;0;-0.017241379;0;0.005946658;0;0.018290297;0;NA;-0.020973154;0;NA;NA;NA;NA;NA;0.009677419;0;0;NA;0.006186633;0.021683075;0;-0.014563107;0;NA;-0.030520087;0;NA;NA;0.019607843;0.004081236;NA;0.02238806;0;0.052838934;0.014100083;NA;0
6;2003;-0.042541406;NA;0.010201563;NA;0.006632192;0.011566157;0;-0.001981506;0;NA;NA;0;0;NA;-0.010273973;-0.014084507;0.003021148;0;0;0;0;0;-0.005494505;NA;0;0;0;-0.005911504;0;-0.004514456;-0.006518974;NA;0.014567266;0;NA;NA;NA;NA;NA;-0.003194888;0;0;NA;-0.019950811;0.021337616;0;-0.004926108;0;NA;-0.035656923;0;NA;NA;0;-0.006774412;NA;0;0;-0.012546775;0.005075078;NA;0
6;2003;0;NA;0;NA;-0.013160684;-0.01143391;0;-0.00794176;0;NA;NA;-0.014705882;0;NA;0;-0.00952381;-0.006024096;0;-0.013226366;0;0;0;-0.005524862;NA;0;0;-0.049992048;0;0;0.004534929;0;NA;0;0;NA;NA;NA;NA;NA;0;0;0;NA;-0.014083188;-0.020891834;0;0;0;NA;0.004663558;0;NA;NA;0;0.006820618;NA;0;0;0;-0.006301381;NA;0
6;2003;0.016661846;NA;-0.010098542;NA;0.026672396;-0.015391539;0.007692308;-0.00466978;0.021333333;NA;NA;0;0;NA;-0.003460208;0;0;-0.057088977;0;-0.04375;0;0;0.033333333;NA;0;0;0.052622768;0.014848841;-0.02016129;-0.013447315;-0.016377701;NA;-0.014358108;0;NA;NA;NA;NA;NA;-0.001602564;0;0;NA;0.017456549;0.06389813;-0.008333333;-0.00990099;0;NA;0.013594164;0;NA;NA;-0.011538462;0.010790671;NA;0;0;0;-0.018982026;NA;0
6;2003;0.02731463;NA;0.001480872;NA;0.019476548;-0.031218576;0;-0.028150134;0.020887728;NA;NA;0;0;NA;0.006944444;0.004807692;0.012121212;-0.036363636;0.013403648;0.045751634;0;0;-0.032258065;NA;0;-0.031578947;0;0.014631579;0;0.004478629;0;NA;0;-0.079003559;NA;NA;NA;NA;NA;-0.004815409;0;0;NA;0.006254201;-0.010028035;0.008403361;-0.005;0;NA;0.004579653;0;NA;NA;0.019455253;-0.021398822;NA;0;0;-0.038118591;-0.002589897;NA;0
6;2003;-0.021270703;NA;-0.016019059;NA;-0.012741569;-0.012125501;-0.007633588;0.002068966;0;NA;NA;0;0;NA;-0.010344828;-0.004784689;-0.002994012;0;-0.004444926;-0.0375;0;0;0.011111111;NA;0;-0.003623188;-0.049992048;0.008645433;0;-0.00445866;0;NA;0.014567266;0;NA;NA;NA;NA;NA;0;0;0;NA;-0.023265738;0.090948698;0;0.015075377;0;NA;-0.031585803;0;NA;NA;-0.003816794;-0.002739458;NA;0;0;0;-0.012918732;NA;0
6;2003;0.021732979;NA;-0.011771581;NA;0;0.012274334;-0.007692308;0.083964212;0;NA;NA;0;0;NA;0.003484321;-0.014423077;-0.009009009;-0.006226415;0;-0.058441558;0;0;0;NA;0;0.003636364;0.052622768;0;-0.053497942;0.01363061;0.013342011;NA;-0.014358108;0;NA;NA;NA;NA;NA;-0.001612903;0;0;NA;-0.012688764;-0.027755591;-0.008333333;-0.024752475;0;NA;0;0;NA;NA;-0.003831418;0;NA;0;0;0;0.01308781;NA;0
6;2003;0.005317676;NA;0.00295683;NA;0;-0.012125501;0.007751938;-0.028571429;0;NA;NA;0;0;NA;-0.003472222;0.004878049;0.003030303;0;-0.004464772;0.062068966;0;0;0.005494505;NA;0;0.036231884;-0.049992048;0;0.004347826;0.008932859;-0.029597517;NA;0.014567266;0;NA;NA;NA;NA;NA;-0.001615509;0;0;NA;0.011254978;-0.019100431;0;-0.005076142;0;NA;0.014122394;0;NA;NA;0.003846154;0.004120475;NA;0;0;0;0.009055988;NA;0
6;2003;0.005289548;NA;0.016425202;NA;-0.012906012;0.020441303;-0.007692308;0.013071895;0.020460358;NA;NA;0.014925373;0.014285714;NA;-0.003484321;-0.009708738;0.006042296;0.006265426;0.004484795;0;0;0;0;NA;0;-0.01048951;0.052622768;0.019988343;0.017316017;0;-0.010148365;NA;0;0;NA;NA;NA;NA;NA;0.006472492;0;0;NA;-0.009550626;0.029103853;0;0.030612245;0;NA;0;0;NA;NA;-0.003831418;0.006839277;NA;0.087591241;0;-0.012977984;0.007698688;NA;0
6;2003;-0.021046862;NA;0.008784288;NA;0;-0.01600674;0.015503876;-0.016129032;-0.020050125;NA;NA;-0.014705882;0.014084507;NA;-0.01048951;0;-0.006006006;0;-0.004464772;0;0;0;-0.005464481;NA;0;-0.028268551;-0.049992048;-0.014016807;0;-0.013328256;-0.013707026;NA;0;0;NA;NA;NA;NA;NA;0.003215434;0;-0.096974808;NA;0.001613523;-0.009359105;-0.008403361;0;0;NA;0.00464191;0;NA;NA;0.023076923;-0.008151383;NA;0;0;0.013148626;-0.021632231;NA;0
7;2003;0;NA;0.001396533;NA;-0.013074755;-0.020310122;-0.007633588;-0.003278689;-0.020460358;NA;NA;0;0;NA;-0.03180212;-0.004901961;-0.006042296;0.031509434;-0.017720411;0;0;0;0.004395604;NA;0;0.003636364;0.052622768;-0.005659155;0;-0.013508298;-0.01389752;NA;0;0;NA;NA;NA;NA;NA;0.003205128;0;0;NA;0.001591746;-0.076196344;-0.016949153;-0.024752475;0;NA;0.004290429;0;NA;NA;-0.018796992;-0.010908913;NA;0;0;0;-0.027309202;NA;0
